mode,scale,config,score_mean_last100,score_std_last100,total_energy,makespan
cross-opt,scale_a,scale_0.1+0.9,-9.909973,0.059060,5691.419576,181.929018
cross-opt,scale_a,scale_0.2+0.8,-10.500797,0.023826,5443.284844,148.063480
cross-opt,scale_a,scale_0.3+0.7,-10.246491,0.650293,5800.940981,150.351157
cross-opt,scale_a,scale_0.4+0.6,-12.288998,0.917116,5736.075045,104.718299
cross-opt,scale_a,scale_0.5+0.5,-9.684902,0.251004,5721.304556,115.436195
cross-opt,scale_a,scale_0.6+0.4,-10.249979,0.935872,5707.795711,108.893613
cross-opt,scale_a,scale_0.7+0.3,-8.854829,0.000002,5618.744416,96.980516
cross-opt,scale_a,scale_0.8+0.2,-8.203999,0.269267,5844.194663,95.115847
cross-opt,scale_a,scale_0.9+0.1,-6.789944,0.000002,5909.970208,89.500017
cross-opt,scale_b,scale_0.1+0.9,-18.760593,1.847727,10960.089499,257.594258
cross-opt,scale_b,scale_0.2+0.8,-15.809437,1.837045,11297.310567,302.765123
cross-opt,scale_b,scale_0.3+0.7,-19.004992,1.280129,11742.915863,174.836375
cross-opt,scale_b,scale_0.4+0.6,-17.330908,0.000166,11380.207281,198.891339
cross-opt,scale_b,scale_0.5+0.5,-19.474085,3.018929,11495.568390,191.238743
cross-opt,scale_b,scale_0.6+0.4,-16.319422,0.959128,11685.727423,195.353234
cross-opt,scale_b,scale_0.7+0.3,-15.281277,0.480169,11377.983901,175.084380
cross-opt,scale_b,scale_0.8+0.2,-13.057613,0.023936,11684.506920,177.506218
cross-opt,scale_b,scale_0.9+0.1,-11.992068,0.000006,11752.440372,174.500022
cross-opt,scale_c,scale_0.1+0.9,-22.351830,1.221370,32750.195077,845.750400
cross-opt,scale_c,scale_0.2+0.8,-18.252403,0.181456,29379.666915,381.292378
cross-opt,scale_c,scale_0.3+0.7,-22.939331,0.670252,28236.568881,521.894640
cross-opt,scale_c,scale_0.4+0.6,-19.325378,0.115768,30298.345264,352.874851
cross-opt,scale_c,scale_0.5+0.5,-23.801729,1.597268,30275.147036,334.331124
cross-opt,scale_c,scale_0.6+0.4,-20.521296,0.118765,29857.181552,280.802498
cross-opt,scale_c,scale_0.7+0.3,-20.098740,0.000167,30476.536179,305.922537
cross-opt,scale_c,scale_0.8+0.2,-20.825275,0.459103,28769.649503,237.304206
cross-opt,scale_c,scale_0.9+0.1,-19.132929,0.312892,29713.310717,275.111276
cross-opt,scale_d,scale_0.1+0.9,-29.990427,0.000027,56507.673489,913.745830
cross-opt,scale_d,scale_0.2+0.8,-30.626772,0.000107,60811.855316,605.627170
cross-opt,scale_d,scale_0.3+0.7,-31.262728,0.000517,60786.643028,606.455024
cross-opt,scale_d,scale_0.4+0.6,-35.715179,12.132649,60809.690262,605.667356
cross-opt,scale_d,scale_0.5+0.5,-32.535954,0.000050,60808.699838,606.159691
cross-opt,scale_d,scale_0.6+0.4,-33.172413,0.000003,60812.975753,605.676441
cross-opt,scale_d,scale_0.7+0.3,-34.061043,0.870545,60282.544617,624.020462
cross-opt,scale_d,scale_0.8+0.2,-34.556522,1.075511,58351.847260,507.103908
cross-opt,scale_d,scale_0.9+0.1,-33.962711,0.563224,55349.650891,387.000926
energy-opt,scale_a,scale_0.1+0.9,-13.223564,0.000003,5533.929325,161.150000
energy-opt,scale_a,scale_0.2+0.8,-15.299766,0.262367,5172.279325,137.040000
energy-opt,scale_a,scale_0.3+0.7,-17.303858,0.000000,5220.279325,140.240000
energy-opt,scale_a,scale_0.4+0.6,-19.219938,0.318960,5086.179325,131.300000
energy-opt,scale_a,scale_0.5+0.5,-22.004654,0.598767,5147.529325,135.390000
energy-opt,scale_a,scale_0.6+0.4,-21.886724,1.287979,4852.779325,115.740000
energy-opt,scale_a,scale_0.7+0.3,-24.068748,1.452894,4714.929325,106.550000
energy-opt,scale_a,scale_0.8+0.2,-25.351065,1.035280,4938.279325,121.440000
energy-opt,scale_a,scale_0.9+0.1,-29.544727,0.000002,5447.829325,155.410000
energy-opt,scale_b,scale_0.1+0.9,-19.111849,0.000004,10918.608651,312.350000
energy-opt,scale_b,scale_0.2+0.8,-23.779827,0.000000,10841.058651,307.180000
energy-opt,scale_b,scale_0.3+0.7,-35.752987,14.113482,9905.808651,244.830000
energy-opt,scale_b,scale_0.4+0.6,-33.478855,1.335665,9979.458651,249.740000
energy-opt,scale_b,scale_0.5+0.5,-38.308857,0.888655,10531.158651,286.520000
energy-opt,scale_b,scale_0.6+0.4,-41.718319,0.734953,10414.158651,278.720000
energy-opt,scale_b,scale_0.7+0.3,-46.216026,0.603399,10326.708651,272.890000
energy-opt,scale_b,scale_0.8+0.2,-48.560444,0.772961,10256.058651,268.180000
energy-opt,scale_b,scale_0.9+0.1,-53.720409,1.227341,10243.608651,267.350000
energy-opt,scale_c,scale_0.1+0.9,-25.799744,0.440160,26732.646626,445.970000
energy-opt,scale_c,scale_0.2+0.8,-33.996452,0.000004,28564.646626,519.250000
energy-opt,scale_c,scale_0.3+0.7,-45.633316,1.616118,28034.396626,498.040000
energy-opt,scale_c,scale_0.4+0.6,-55.979721,2.434173,27328.646626,469.810000
energy-opt,scale_c,scale_0.5+0.5,-60.763550,0.865253,27103.896626,460.820000
energy-opt,scale_c,scale_0.6+0.4,-69.523148,1.750834,27587.396626,480.160000
energy-opt,scale_c,scale_0.7+0.3,-71.624847,2.273527,25817.896626,409.380000
energy-opt,scale_c,scale_0.8+0.2,-82.773857,1.405028,26993.396626,456.400000
energy-opt,scale_c,scale_0.9+0.1,-85.115891,4.597034,24703.646626,364.810000
energy-opt,scale_d,scale_0.1+0.9,-38.062126,0.000000,56785.543253,1024.750000
energy-opt,scale_d,scale_0.2+0.8,-56.664845,0.000011,53858.043253,907.650000
energy-opt,scale_d,scale_0.3+0.7,-75.267532,0.000008,55623.043253,978.250000
energy-opt,scale_d,scale_0.4+0.6,-95.710793,3.729567,55454.543253,971.510000
energy-opt,scale_d,scale_0.5+0.5,-111.919968,2.494493,54888.543253,948.870000
energy-opt,scale_d,scale_0.6+0.4,-131.075653,0.000000,54686.543253,940.790000
energy-opt,scale_d,scale_0.7+0.3,-148.586029,2.200446,54577.043253,936.410000
energy-opt,scale_d,scale_0.8+0.2,-168.281052,0.000015,54455.793253,931.560000
energy-opt,scale_d,scale_0.9+0.1,-182.967239,4.463933,53194.543253,881.110000
time-opt,scale_a,scale_0.1+0.9,-18.560337,0.000004,5909.970127,89.500000
time-opt,scale_a,scale_0.2+0.8,-21.295111,0.924270,5909.970127,89.500000
time-opt,scale_a,scale_0.3+0.7,-24.748569,1.907474,5909.970127,89.500000
time-opt,scale_a,scale_0.4+0.6,-27.688562,2.307664,5566.470127,66.600000
time-opt,scale_a,scale_0.5+0.5,-29.011452,1.228788,5752.470127,79.000000
time-opt,scale_a,scale_0.6+0.4,-29.323156,0.860931,5537.970127,64.700000
time-opt,scale_a,scale_0.7+0.3,-27.653633,1.388751,5471.970127,60.300000
time-opt,scale_a,scale_0.8+0.2,-32.572632,2.043787,5597.970127,68.700000
time-opt,scale_a,scale_0.9+0.1,-33.236969,1.596766,5689.470127,74.800000
time-opt,scale_b,scale_0.1+0.9,-27.309893,0.000002,11752.440254,174.500000
time-opt,scale_b,scale_0.2+0.8,-32.740223,0.033660,11659.440254,168.300000
time-opt,scale_b,scale_0.3+0.7,-38.185482,0.000008,11752.440254,174.500000
time-opt,scale_b,scale_0.4+0.6,-43.632092,0.087848,11318.940254,145.600000
time-opt,scale_b,scale_0.5+0.5,-48.269211,1.717169,11302.440254,144.500000
time-opt,scale_b,scale_0.6+0.4,-53.961739,0.496191,11479.440254,156.300000
time-opt,scale_b,scale_0.7+0.3,-56.442924,2.881725,11165.940254,135.400000
time-opt,scale_b,scale_0.8+0.2,-65.305344,0.339165,11125.440254,132.700000
time-opt,scale_b,scale_0.9+0.1,-65.930138,3.403439,11308.440254,144.900000
time-opt,scale_c,scale_0.1+0.9,-36.460007,0.697849,29502.350635,266.600000
time-opt,scale_c,scale_0.2+0.8,-46.153210,0.029242,30369.850635,301.300000
time-opt,scale_c,scale_0.3+0.7,-56.863598,0.000004,30477.350635,305.600000
time-opt,scale_c,scale_0.4+0.6,-67.569069,0.000000,29309.850635,258.900000
time-opt,scale_c,scale_0.5+0.5,-78.274529,0.000008,29647.350635,272.400000
time-opt,scale_c,scale_0.6+0.4,-87.250023,1.573419,29212.350635,255.000000
time-opt,scale_c,scale_0.7+0.3,-92.448509,3.349903,28557.350635,228.800000
time-opt,scale_c,scale_0.8+0.2,-98.940781,4.691646,28377.350635,221.600000
time-opt,scale_c,scale_0.9+0.1,-109.250687,4.010870,28934.850635,243.900000
time-opt,scale_d,scale_0.1+0.9,-52.792103,0.000004,60814.701269,605.600000
time-opt,scale_d,scale_0.2+0.8,-76.331291,0.686026,60814.701269,605.600000
time-opt,scale_d,scale_0.3+0.7,-99.238701,0.000023,58859.701269,527.400000
time-opt,scale_d,scale_0.4+0.6,-122.462029,0.000008,58362.201269,507.500000
time-opt,scale_d,scale_0.5+0.5,-145.685349,0.000000,58844.701269,526.800000
time-opt,scale_d,scale_0.6+0.4,-168.908539,0.001304,58982.201269,532.300000
time-opt,scale_d,scale_0.7+0.3,-179.423111,4.049711,58254.701269,503.200000
time-opt,scale_d,scale_0.8+0.2,-195.273148,3.738701,56892.201269,448.700000
time-opt,scale_d,scale_0.9+0.1,-225.072205,3.505985,58999.701269,533.000000
